IndID	NeophiliaScore	MotherID	FosterID	PeerGroupID	Animal	TrialBunch	YearTrial	ObjectType
4123	6.773625322	1615	181	4001	4123	4123.1	2005	2
4123	6.237734631	1615	181	4001	4123	4123.1	2005	1
4124	7.933095235	1666	181	4001	4124	4124.1	2005	2
4124	6.251506485	1666	181	4001	4124	4124.1	2005	1
4125	4.472135955	2146	181	4007	4125	4125.1	2005	1
4125	5.82929384	2146	181	4007	4125	4125.1	2005	2
4126	6.36210133	1615	190	4007	4126	4126.1	2005	1
4126	5.745781061	1615	190	4007	4126	4126.1	2005	2
4128	4.645212589	1666	161	4002	4128	4128.1	2005	2
4128	5.981582845	1666	161	4002	4128	4128.1	2005	1
4129	6.183230008	2146	106	4007	4129	4129.1	2005	2
4129	6.242355325	2146	106	4007	4129	4129.1	2005	1
4132	6.32455532	1654	125	4002	4132	4132.1	2005	1
4132	5.524943439	1654	125	4002	4132	4132.1	2005	2
4133	6.337559993	2245	190	4007	4133	4133.1	2005	1
4133	6.14741138	2245	190	4007	4133	4133.1	2005	2
4133	4.600217386	2245	190	4007	4133	4133.2	2007	2
4133	5.209414554	2245	190	4007	4133	4133.2	2007	1
4134	4.92341345	2245	190	4007	4134	4134.1	2005	1
4134	5.477225575	2245	190	4007	4134	4134.1	2005	2
4135	6.251506485	2245	190	4007	4135	4135.1	2005	1
4135	6.32455532	2245	190	4007	4135	4135.1	2005	2
4136	6.145404787	2269	125	4007	4136	4136.1	2005	1
4136	6.259659202	2269	125	4007	4136	4136.1	2005	2
4136	4.668761434	2269	125	4007	4136	4136.2	2007	2
4136	4.472135955	2269	125	4007	4136	4136.2	2007	1
4137	6.294309599	1457	125	4007	4137	4137.1	2005	1
4137	5.849216471	1457	125	4007	4137	4137.1	2005	2
4138	6.508968172	1571	158	4007	4138	4138.1	2005	1
4138	7.020375109	1571	158	4007	4138	4138.1	2005	2
4138	6.525462947	1571	158	4007	4138	4138.2	2007	2
4138	5.684305879	1571	158	4007	4138	4138.2	2007	1
4139	7.386451561	1672	166	4007	4139	4139.1	2005	1
4139	6.438478081	1672	166	4007	4139	4139.1	2005	2
4140	5.879625838	1672	166	4007	4140	4140.1	2005	1
4140	6.255291094	1672	166	4007	4140	4140.1	2005	2
4141	4.609699918	2263	102	4007	4141	4141.2	2007	2
4141	4.472135955	2263	102	4007	4141	4141.1	2005	2
4141	4.806245936	2263	102	4007	4141	4141.1	2005	1
4141	5.891179848	2263	102	4007	4141	4141.2	2007	1
4142	4.472135955	2071	122	4001	4142	4142.2	2007	1
4142	6.32455532	2071	122	4001	4142	4142.1	2005	2
4142	6.32455532	2071	122	4001	4142	4142.1	2005	1
4142	6.866537215	2071	122	4001	4142	4142.2	2007	2
4143	4.472135955	2071	187	4001	4143	4143.1	2005	2
4143	5.263902228	2071	187	4001	4143	4143.1	2005	1
4147	5.477225575	2143	106	4007	4147	4147.1	2005	2
4147	4.472135955	2143	106	4007	4147	4147.1	2005	1
4147	4.950286187	2143	106	4007	4147	4147.2	2007	2
4147	6.537991536	2143	106	4007	4147	4147.2	2007	1
4148	4.728918129	1489	132	4001	4148	4148.1	2005	1
4148	5.197371131	1489	132	4001	4148	4148.1	2005	2
4149	6.340452139	1489	132	4007	4149	4149.1	2005	1
4149	7.291456187	1489	132	4007	4149	4149.1	2005	2
4150	6.057722344	1437	144	4007	4150	4150.1	2005	1
4150	6.794556645	1437	144	4007	4150	4150.1	2005	2
4150	6.319757379	1437	144	4007	4150	4150.2	2007	2
4150	5.401851534	1437	144	4007	4150	4150.2	2007	1
4151	5.444569159	1654	151	4007	4151	4151.2	2007	1
4151	4.895440055	1654	151	4007	4151	4151.1	2005	2
4151	6.557794345	1654	151	4007	4151	4151.2	2007	2
4151	4.907409364	1654	151	4007	4151	4151.1	2005	1
4152	5.932228361	2245	173	4007	4152	4152.1	2005	2
4152	7.745966692	2245	173	4007	4152	4152.1	2005	1
4154	6.32455532	1654	142	4001	4154	4154.1	2005	1
4154	6.436976516	1654	142	4001	4154	4154.1	2005	2
4155	6.199059068	1666	142	4001	4155	4155.1	2005	1
4155	6.132862301	1666	142	4001	4155	4155.1	2005	2
4156	4.58541165	2071	102	4002	4156	4156.2	2007	2
4156	4.472135955	2071	102	4002	4156	4156.1	2005	2
4156	4.472135955	2071	102	4002	4156	4156.1	2005	1
4156	4.473775438	2071	102	4002	4156	4156.2	2007	1
4157	6.102130775	2263	102	4007	4157	4157.1	2005	2
4157	4.472135955	2263	102	4007	4157	4157.1	2005	1
4158	6.245638478	2263	143	4007	4158	4158.1	2005	1
4158	4.593691326	2263	143	4007	4158	4158.1	2005	2
4158	4.472135955	2263	143	4007	4158	4158.2	2007	2
4158	4.472135955	2263	143	4007	4158	4158.2	2007	1
4159	4.472135955	1439	143	4007	4159	4159.1	2005	2
4159	6.468230052	1439	143	4007	4159	4159.1	2005	1
4160	5.199102487	1439	172	4001	4160	4160.1	2005	1
4160	5.360721344	1439	172	4001	4160	4160.1	2005	2
4161	6.346232478	1439	172	4001	4161	4161.1	2005	1
4161	5.880476171	1439	172	4001	4161	4161.1	2005	2
4162	7.54868642	1447	106	4002	4162	4162.1	2005	1
4162	4.472135955	1447	106	4002	4162	4162.1	2005	2
4163	6.890113691	1571	116	4007	4163	4163.1	2005	1
4163	6.609286396	1571	116	4007	4163	4163.1	2005	2
4164	8.858574001	1544	125	4007	4164	4164.2	2007	2
4164	4.472135955	1544	125	4007	4164	4164.1	2005	2
4164	6.308248568	1544	125	4007	4164	4164.2	2007	1
4164	4.640114941	1544	125	4007	4164	4164.1	2005	1
4165	5.056217295	2143	132	4007	4165	4165.1	2005	2
4165	4.589553355	2143	132	4007	4165	4165.1	2005	1
4166	7.604143607	1437	151	4002	4166	4166.1	2005	1
4166	5.826205169	1437	151	4002	4166	4166.1	2005	2
4167	5.76992201	2239	157	4007	4167	4167.1	2005	2
4167	6.401640415	2239	157	4007	4167	4167.1	2005	1
4168	4.57704417	1604	102	4007	4168	4168.1	2005	1
4168	5.702221789	1604	102	4007	4168	4168.2	2007	2
4168	6.300423266	1604	102	4007	4168	4168.2	2007	1
4168	4.841693918	1604	102	4007	4168	4168.1	2005	2
4169	4.485606611	1456	122	4007	4169	4169.1	2005	2
4169	6.32455532	1456	122	4007	4169	4169.1	2005	1
