AnimalID	MotherID	FatherID
AA2273	B00344	B00814
AA2271	B00374	B06168
AA2270	B00374	B06168
AA2269	B00374	B06168
AA2268	B00486	B06006
AA2267	B00344	B00814
AA2266	B00344	B00814
AA2265	B06160	B06001
AA2264	B06160	B06001
AA2263	B06160	B06001
AA2262	B01392	B00175
AA2261	B01392	B00175
AA2260	B01392	B00175
AA2259	B00262	B00928
AA2258	B00262	B00928
AA2256	B06281	B02410
AA2255	B01392	B00175
AA2254	B00556	B01329
AA2253	B06160	B06001
AA2252	B06160	B06001
AA2251	B06160	B06001
AA2250	B00374	B06168
AA2249	B00436	B01055
AA2248	B00436	B01055
AA2247	B00436	B01055
AA2246	B06502	B06031
AA2245	B06502	B06031
AA2244	B06502	B06031
AA2243	B06502	B06031
AA2242	B00267	B06044
AA2241	B06160	B06001
AA2240	B00709	B06356
AA2239	B00260	B06511
AA2238	B00709	B06356
AA2237	B00709	B06356
AA2236	B00609	B06512
AA2235	B00609	B06512
AA2234	B00267	B06044
AA2233	B02182	B06014
AA2232	B06405	B06441
AA2231	B06502	B06031
AA2229	B02182	B06014
AA2226	B01205	B00614
AA2225	B01205	B00614
AA2224	B01205	B00614
AA2222	B00939	B06033
AA2221	B00939	B06033
AA2201	B00267	B06044
AA2198	B00564	B01139
AA2195	B02433	B01432
AA2193	B02684	B05980
AA2189	B02770	B00848
AA2188	B00564	B01139
AA2185	B02684	B05980
AA2184	B00877	B00602
AA2181	B02446	B00408
AA2178	B02684	B05980
AA2177	B02770	B00848
AA2176	B00939	B06033
AA2172	B01205	B06408
AA2171	B01205	B06408
AA2168	B02684	B05980
AA2167	B00877	B00602
AA2165	B01000	B01175
AA2164	B02446	B00408
AA2156	B00076	B05793
AA2153	B00461	B00960
AA2152	B00461	B00960
AA2149	B00973	B06537
AA2146	B00973	B06537
AA2145	B00973	B06537
AA2144	B00973	B06537
AA2143	B00461	B00960
AA2141	B02611	B01267
AA2139	B01000	B01175
AA2137	B02028	B00220
AA2136	B02028	B00220
AA2135	B02028	B00220
AA2134	B02028	B00220
AA2130	B02459	B01340
AA2127	B02611	B01267
AA2124	B06360	B01180
AA2123	B00513	B00408
AA2120	B06360	B01180
AA2119	B06360	B01180
AA2118	B00649	B06473
AA2117	B00649	B06473
AA2111	B00649	B06473
AA2110	B00649	B06473
AA2109	B00075	B00870
AA2108	B00448	B06240
AA2106	B02469	B01333
AA2105	B01000	B01175
AA2103	B00327	B01027
AA2101	B01173	B00904
AA2100	B00327	B01027
AA2099	B00327	B01027
AA2098	B02401	B01363
AA2096	B00889	B06441
AA2095	B00327	B01027
AA2094	B02401	B01363
AA2091	B02401	B01363
AA2089	B05769	B05744
AA2088	B05769	B05744
AA2086	B00448	B06240
AA2085	B00287	B00674
AA2084	B00564	B01139
AA2083	B02476	B00408
AA2082	B02476	B00408
AA2081	B02476	B00408
AA2080	B02401	B01363
AA2075	B01173	B00904
AA2074	B01173	B00904
AA2073	B00889	B06441
AA2072	B00488	B06035
AA2071	B00488	B06035
AA2070	B00213	B00912
AA2069	B00213	B00912
AA2068	B00213	B00912
AA2066	B00448	B06240
AA2065	B00448	B06240
AA2064	B00287	B00674
AA2058	B02768	B00847
AA2034	B02469	B01363
AA2032	B02733	B01154
AA2029	B02733	B01154
AA2019	B02659	B01267
AA2006	B00405	B01175
AA1968	B01486	B01279
AA1686	B02601	B00779
AA1672	B02684	B05980
AA1669	B00975	B06408
AA1668	B01485	B01154
AA1666	B02374	B00272
AA1664	B02595	B00408
AA1662	B01485	B01154
AA1656	B01485	B01154
AA1654	B02684	B05980
AA1652	B02601	B00779
AA1646	B02599	B00399
AA1642	B02526	B01432
AA1641	B02599	B00399
AA1633	B02599	B00399
AA1627	B02599	B00399
AA1621	B01523	B01363
AA1617	B00367	B00928
AA1615	B02446	B00408
AA1613	B02338	B01329
AA1609	B02338	B01329
AA1608	B06451	B06872
AA1604	B00513	B01139
AA1603	B06256	B00198
AA1599	B02446	B00408
AA1597	B00513	B01139
AA1586	B06256	B00198
AA1585	B02543	B00394
AA1581	B05991	B00779
AA1572	B02469	B01333
AA1571	B02541	B00650
AA1567	B02433	B01390
AA1566	B02374	B01340
AA1563	B02433	B01390
AA1558	B00436	B01055
AA1551	B02433	B01390
AA1544	B01156	B00638
AA1542	B01205	B01013
AA1541	B02601	B00926
AA1540	B01148	B00848
AA1536	B02601	B00926
AA1534	B02526	B00399
AA1533	B01485	B01150
AA1527	B01205	B01013
AA1525	B01485	B01150
AA1523	B00486	B01175
AA1509	B01485	B01150
AA1506	B02526	B00399
AA1503	B02601	B00926
AA1502	B02541	B00650
AA1501	B00567	B01260
AA1496	B02524	B00272
AA1489	B00567	B01260
AA1484	B00840	B00847
AA1480	B02595	B01432
AA1472	B02422	B01363
AA1465	B02599	B00408
AA1463	B00260	B01159
AA1459	B01516	B01260
AA1458	B01516	B01260
AA1457	B02521	B01175
AA1456	B00260	B01159
AA1454	B01498	B01333
AA1451	B01516	B01260
AA1450	B00191	B00848
AA1447	B02418	B00394
AA1446	B02422	B01363
AA1445	B02422	B01363
AA1444	B00260	B01159
AA1443	B02595	B01432
AA1442	B02545	B00517
AA1439	B02418	B00394
AA1437	B00356	B00638
AA1434	B02182	B01267
AA1432	B01516	B01260
AA1431	B02401	B01340
AA1427	B02418	B00394
AA1425	B01173	B00847
AA1416	B02182	B01267
AA1400	B00514	B01255
AA1386	B02446	B00774
AA1385	B00514	B01255
AA1384	B00514	B01255
AA1379	B01131	B00650
AA1363	B01019	B01279
AA1357	B06391	B00847
AA1356	B06391	B00847
AA1345	B00459	B01214
