,AL1G10010,AL1G10020,AL3G36510,AL1G10030,AL1G10040,AL1G10050,AL1G10060,AL1G10070,AL1G10080,AL1G10090,AL1G10104,AL1G10110,AL1G10120,AL1G10130,AL1G10140,AL1G10160,AL1G10170,AL5G17930,AL1G10180,AL1G10200,AL1G10210,AL1G10220,AL1G10230,AL1G10240,AL1G10260,AL1G10270,AL1G10290,AL1G10300,AL1G10310,AL1G10320,AL1G10330,AL1G10340,AL1G10350,AL1G10360,AL1G10370,AL1G10380,AL1G10390,AL1G10400,AL1G10410,AL1G10420,AL1G10430,AL1G10450,AL1G10470,AL1G10480,AL1G10490,AL1G10510,AL1G10520,AL1G10540,AL1G10550,AL1G10560,AL1G10570,AL1G10580,AL1G10590,AL1G10600,AL1G10610,AL1G10630,AL1G10640,AL1G10650,AL1G10660,AL1G10670,AL1G10680,AL1G10690,AL1G10700,AL1G10710,AL1G10720,AL6G46020,AL1G10740,AL1G10750,AL1G10760,AL1G10770,AL1G10780,AL1G10790,AL1G10800,AL1G10810,AL1G10820,AL1G10840,AL1G10850,AL1G10860,AL1G10870,AL1G10880,AL1G10890,AL1G10900,AL1G10910,AL1G10920,AL1G10930,AL1G10940,AL1G10950,AL1G10960,AL1G10980,AL1G10990,AL1G11010,AL1G11020,AL1G11030,AL1G11040,AL1G11050,AL1G11060,AL1G11070,AL1G11090,AL1G11100,AL1G11110,AL1G11120,AL1G11130,AL1G11140,AL1G11150,AL1G11160,AL1G11170,AL1G11180,AL1G11200,AL1G11210,AL1G11220,AL1G11230,AL1G11240,AL1G11250,AL1G11260,AL1G11270,AL1G11280,AL1G11290,AL1G11320,AL1G11330,AL1G11340,AL1G11350,AL1G11360,AL1G11370,AL1G11390,AL1G11400,AL1G11410,AL1G11420,AL1G11430,AL1G11440,AL1G11450,AL1G11460,AL1G11470,AL1G11480,AL1G11500,AL1G11510,AL1G11520,AL1G11530,AL1G11550,AL1G11560,AL1G11570,AL1G11580,AL1G11590,AL1G11600,AL4G45870,AL1G11610,AL1G11620,AL1G11630,AL1G11640,AL1G11650,AL1G11660,AL1G11670,AL1G11680,AL1G11690,AL1G11700,AL1G11710,AL1G11720,AL1G11730,AL1G11740,AL8G19300,AL1G11750,AL1G11760,AL1G11770,AL1G11790,AL1G11800,AL1G11810,AL1G11820,AL1G11840,AL1G11850,AL1G11860,AL1G11870,AL1G11880,AL1G11890,AL1G11900,AL1G11930,AL1G11940,AL1G11960,AL1G11970,AL1G11980,AL5G31140,AL1G11990,AL1G12000,AL1G12010,AL1G12030,AL1G12040,AL1G12050,AL1G12060,AL1G12070,AL1G12080,AL1G12090,AL1G12100,AL1G12110,AL1G12120,AL1G12130,AL1G12150,AL1G12160,AL1G12170,AL1G12180,AL1G12190,AL1G12200,AL1G12210,AL1G12220,AL1G12230,AL1G12240,AL1G12260,AL1G12270,AL1G12280,AL1G12290,AL1G12300,AL1G12320,AL1G12330,AL1G12340,AL1G12350,AL1G12360,AL1G12370,AL1G12380,AL1G12390,AL1G12400,AL1G12410,AL1G12430,AL1G12440,AL1G12450,AL1G12460,AL1G12470,AL1G12480,AL1G12490,AL1G12500,AL1G12510,AL1G12520,AL1G12530,AL1G12540,AL1G12550,AL1G12560,AL1G12570,AL1G12580,AL1G12590,AL1G12600,AL1G12610,AL1G12620,AL1G12630,AL1G12650,AL1G12660,AL1G12670,AL1G12680,AL1G12690,AL1G12700,AL1G12710,AL1G12720,AL1G12730,AL1G12740,AL1G12750,AL2G35450,AL1G12760,AL1G12780,AL1G12800,AL1G12810,AL1G12820,AL1G12830,AL1G12840,AL1G12850,AL1G12860,AL1G12870,AL1G12880,AL1G12890,AL1G12900,AL1G12910,AL1G12920,AL1G12930,AL1G12940,AL1G12950,AL1G12960,AL1G12970,AL1G12980,AL1G13550,AL1G13000,AL1G13010,AL1G13030,AL1G13040,AL1G13050,AL1G13060,AL1G13070,AL1G13090,AL1G13100,AL1G13110,AL1G13120,AL1G13130,AL1G13150,AL1G13160,AL1G13170,AL1G13180,AL1G13190,AL1G13200,AL1G13230,AL1G13240,AL1G13250,AL1G13270,AL1G13280,AL1G13290,AL1G13300,AL1G13310,AL1G13320,AL1G13330,AL1G13350,AL1G13360,AL1G13370,AL1G13380,AL1G13390,AL1G13400,AL1G13410,AL1G13430,AL1G13440,AL1G13450,AL1G13460,AL1G13470,AL1G13480,AL1G13490,AL2G11480,AL1G13510,AL1G13540,AL1G12990,AL1G13560,AL1G13570,AL1G13580,AL1G13600,AL1G13610,AL1G13620,AL1G13630,AL1G13640,AL1G13650,AL1G13660,AL1G13670,AL1G13680,AL1G13690,AL1G13700,AL1G13710,AL1G13720,AL1G13730,AL1G13740,AL1G13750,AL1G13760,AL1G13770,AL1G13780,AL1G13790,AL1G13800,AL1G13810,AL1G13820,AL1G13830,AL1G13840,AL1G13850,AL1G13860,AL1G13870,AL1G13880,AL1G13890,AL1G13900,AL1G13910,AL1G13930,AL1G13940,AL1G13950,AL1G13960,AL1G13970,AL1G13980,AL1G14000,AL1G14010,AL1G14020,AL1G14030,AL1G14040,AL1G14070,AL1G14080,AL1G14100,AL1G14110,AL1G14120,AL1G14130,AL1G14140,AL4G32050,AL5G18510,AL1G14150,AL1G14160,AL1G14170,AL1G14180,AL1G14190,AL1G14200,AL1G14220,AL1G14230,AL1G14240,AL1G14250,AL1G14260,AL1G14270,AL1G14280,AL1G14290,AL1G14300,AL1G14310,AL1G14320,AL1G14330,AL1G14340,AL1G14360,AL1G14370,AL325U10020,AL1G14390,AL1G14400,AL1G14410,AL1G14420,AL1G14430,AL1G14450,AL1G14460,AL1G14470,AL1G14480,AL1G14490,AL1G14500,AL1G14510,AL1G14520,AL1G14530,AL1G14550,AL1G14560,AL1G14570,AL1G14580,AL1G14590,AL1G14600,AL1G14610,AL1G14620,AL1G14630,AL1G14640,AL1G14650,AL1G14660,AL1G14670,AL1G14680,AL1G14690,AL1G14700,AL1G14710,AL1G14720,AL1G14730,AL1G14740,AL1G14750,AL1G14760,AL1G14770,AL1G14780,AL1G14790,AL1G14800,AL1G14810,AL1G14820,AL1G14830,AL1G14840,AL1G14850,AL1G14860,AL1G14870,AL1G14880,AL6G41230,AL1G14890,AL1G14900,AL1G14910,AL1G14920,AL1G14930,AL1G14940,AL1G14950,AL1G14960,AL1G14970,AL1G14990,AL1G15000,AL1G15020,AL1G15030,AL1G15040,AL1G15050,AL1G15060,AL1G15090,AL1G15100,AL1G15110,AL1G15120,AL1G15130,AL1G15140,AL1G15150,AL1G15160,AL1G15170,AL1G15180,AL1G15190,AL1G15210,AL1G15220,AL1G15240,AL1G15250,AL1G15260,AL1G15270,AL1G15280,AL4G39840,AL1G15290,AL1G15300,AL1G15320,AL1G15330,AL1G15340,AL1G15350,AL1G15360,AL1G15380,AL1G15390,AL1G15400,AL1G15410,AL1G15430,AL1G15440,AL1G15450,AL1G15460,AL1G15470,AL1G15490,AL1G15500,AL1G15510,AL1G15520
103,1245,1,0,0,63,422,275,1419,284,992,230,1035,101,407,477,123,1,0,3,1047,10,0,20,30,275,16,0,0,135,110,136,0,1128,921,432,225,303,28,253,935,170,35,533,15,146,866,18,385,4643,55,123,53,28,172,316,337,60,1264,0,5,46,6,161,52,326,12,367,741,98,993,1696,0,125,37,14,335,2547,2112,19,1,143,413,443,840,0,2394,0,0,0,39,171,364,0,0,0,112,0,29,220,123,32,5021,9,3,3202,131,0,108,35,60,271,17,7,251,107,61,246,52,976,171,0,0,2035,26,370,17,1191,2425,1479,21,5857,1320,694,55,124,0,451,0,76,16,0,101,1645,0,1139,5,0,424,1,279,4,9,132,341,26,67,20,21,0,17,0,380,0,3,37,1287,1851,0,13,22,26,3920,0,146,811,1,0,53,0,23,93,277,0,0,1,193,85,241,257,0,59,260,162,3691,0,0,0,3,211,360,0,22,1001,81,135,97,417,319,1,683,0,1044,247,529,0,76,420,8,9,272,287,2,0,117,463,10,99,474,15,651,198,32,0,136,19,9116,698,166,0,702,4,1,162,132,0,107,0,245,206,106,1,43,372,564,9,332,15,332,45,108,1331,118,157,450,420,0,78,144,3,82,9,1201,0,1,7,54,150,68,17,193,300,6790,160,3,2497,1,9,6755,136,0,7,12,0,5,58,411,0,128,100,80,23,0,1,0,4,279,33,0,10,276,128,0,145,629,172,0,662,11,0,192,103,193,80,86,184,27,21,356,29,75,1552,50,78,12,746,151,796,0,507,605,0,203,924,489,225,237,331,731,233,1862,15,665,649,38,4,114,70,0,0,0,102,2093,5414,3107,0,6355,789,1,419,0,1029,6,17,13,3,409,289,1709,1,0,255,75,0,62,28,208,24,0,1190,561,34,208,0,32,6,0,220,876,144,719,215,68,957,93,123,3,552,367,1181,609,331,52,1382,293,174,33,6,131,372,8,49,1437,174,194,429,187,124,413,270,29,0,2631,3,246,0,144,65,9,346,0,50,165,14,354,150,53,706,293,237,70,402,5292,1102,166,0,196,0,0,2,385,0,2,743,0,171,0,1,658,0,7,106,7,465,628,1,59,568,322,0,0,0,177,117,10,461,0,475,5,0,87,0,279,710,4,0,0,264,66,0,0
121,727,6,2,3,61,328,297,987,270,1351,193,702,92,587,347,195,1,0,4,839,13,1,10,11,182,16,0,0,60,138,129,0,689,848,429,385,253,49,273,1148,125,25,575,52,112,892,35,1408,2717,62,120,46,33,199,482,431,185,984,0,3,63,41,107,70,296,4,424,559,203,736,755,0,55,31,32,120,2091,1648,4,17,185,273,320,706,3,1174,3,0,1,11,93,374,5,0,0,56,3,9,304,45,189,3465,4,5,3233,125,1,104,53,111,311,2,27,188,167,72,125,98,941,193,0,0,2561,82,411,13,2655,2231,1394,15,4044,821,383,42,148,1,113,0,53,52,1,166,1119,0,1600,17,2,534,10,251,26,1,92,261,127,93,18,13,1,41,0,394,40,10,89,1086,1387,0,6,12,0,5221,0,49,964,1,0,53,0,15,54,517,0,0,2,187,31,57,150,0,28,167,220,5409,0,0,2,10,519,292,2,27,826,63,76,120,391,254,0,729,8,1003,1019,846,0,89,193,15,10,166,220,1,0,105,484,13,75,361,1,488,195,27,0,265,9,8084,730,181,0,631,3,8,119,66,0,79,0,40,297,105,0,61,379,397,4,396,15,460,92,90,1343,245,128,217,431,2,82,259,9,55,18,946,0,3,9,64,137,42,16,119,243,4139,127,4,2524,41,2,4168,210,1,27,50,26,171,100,382,0,119,111,64,15,0,5,2,28,231,33,0,6,357,22,0,0,846,267,0,563,27,0,416,122,223,81,88,193,39,18,123,32,88,860,27,55,26,626,185,601,0,289,689,1,250,675,330,120,250,457,865,165,3750,39,2838,495,37,0,170,127,0,1,0,89,1997,4787,2891,0,5289,572,2,477,0,2196,0,12,5,8,392,250,2128,0,0,258,90,1,57,17,308,9,0,824,455,48,374,1,8,3,0,261,1410,41,812,218,42,1259,55,148,3,411,231,1988,760,237,34,1498,324,343,1,4,135,441,8,49,1264,179,138,460,202,138,709,504,20,2,4351,1,180,0,178,89,8,642,0,55,128,13,268,32,116,547,172,160,119,508,4786,918,259,5,138,0,0,6,455,0,1,526,1,162,0,5,760,0,13,69,1,352,812,0,47,404,365,2,0,0,178,75,17,456,0,326,2,0,31,0,252,385,2,0,0,94,25,3,0
165,241,2,0,2,71,243,207,559,421,952,184,984,111,423,344,123,2,0,2,1594,13,0,26,11,315,19,0,0,81,134,139,0,791,988,429,116,283,21,266,1192,106,20,321,26,245,979,17,1092,1510,32,266,58,29,261,316,368,39,1203,0,6,81,346,201,32,268,8,540,667,264,751,755,0,190,148,12,342,2732,1578,7,5,306,296,295,432,8,1348,0,0,0,50,167,419,6,0,0,109,2,24,176,125,48,6727,6,0,3149,144,0,135,119,149,331,2,50,189,71,39,278,59,604,205,0,0,1137,29,468,15,845,2233,388,29,3868,807,698,38,89,0,313,0,38,15,0,138,1170,0,639,6,0,729,6,268,55,5,83,225,42,81,4,22,0,35,0,300,212,17,67,860,2213,0,16,20,0,2932,0,11,923,0,0,52,0,11,57,243,0,0,0,228,8,36,86,0,37,135,175,3608,0,0,0,8,276,1002,0,23,782,73,97,109,298,286,1,1071,2,671,2967,779,0,71,418,13,10,337,375,4,0,133,612,11,69,810,6,697,254,32,1,195,20,8973,694,166,0,700,8,5,178,203,0,72,0,209,138,95,0,57,451,983,22,734,9,276,79,59,880,130,185,367,984,0,76,288,0,51,4,604,0,9,17,107,257,62,16,90,187,1297,82,4,1688,17,7,2874,123,0,19,99,17,92,68,747,0,166,86,129,12,3,5,0,23,236,80,0,60,257,11,0,172,541,221,0,666,84,0,296,155,288,76,76,153,14,9,19,6,47,1272,11,83,14,941,167,1055,0,275,621,0,194,355,592,144,331,717,1345,128,2317,43,259,832,42,2,140,223,0,0,0,102,1844,4841,704,0,1946,702,3,238,0,762,6,5,2,3,392,158,1670,1,0,269,79,0,116,17,125,2,0,1313,208,24,250,0,16,0,0,163,1064,29,1262,85,69,1077,85,648,5,620,299,2785,770,157,22,1390,418,266,2,0,106,277,9,41,634,225,177,430,209,103,433,349,13,31,2457,1,185,0,142,116,5,355,0,52,158,6,368,169,225,555,306,297,161,364,1481,1090,239,4,245,0,0,50,362,5,3,210,6,146,0,19,429,0,33,68,2,512,415,0,7,258,291,0,2,0,329,98,13,450,2,342,15,0,91,0,335,1894,12,0,0,230,46,2,0
126,567,0,1,0,38,403,310,1105,342,1072,276,1120,100,600,342,149,0,0,1,1000,0,0,13,12,163,13,0,0,75,169,156,0,844,995,426,423,281,20,331,1289,95,14,675,26,128,872,24,1617,2497,28,143,54,23,214,423,398,96,773,0,8,61,18,201,24,278,10,276,687,100,1055,1341,0,56,18,33,196,2328,1953,3,6,207,277,243,860,3,448,0,0,0,23,142,459,4,0,0,62,0,20,267,48,204,3555,5,0,2874,95,0,83,34,127,345,3,81,208,99,163,46,110,404,179,0,0,3001,149,958,4,941,2280,1416,18,3416,1033,534,35,107,0,97,0,11,5,0,158,1094,0,954,1,0,551,4,281,17,2,80,396,169,107,20,32,0,67,1,530,18,4,44,1345,1109,0,9,14,0,4379,0,55,1243,0,0,76,0,6,73,340,1,0,0,163,7,40,139,0,20,173,240,3219,0,0,0,1,369,501,0,30,715,34,97,57,333,248,0,1023,10,1054,3628,1245,0,22,247,11,6,321,266,1,1,67,500,10,63,615,0,534,240,14,0,167,27,9893,963,199,0,711,0,15,147,148,0,76,0,111,310,109,0,56,370,802,1,312,9,402,91,66,1331,96,135,409,694,1,67,187,0,132,6,884,0,0,5,86,112,35,14,156,312,3313,148,1,2404,35,2,5159,193,3,26,276,18,148,88,668,0,144,111,69,9,0,2,1,22,211,25,0,15,305,228,0,0,816,298,0,568,15,0,399,131,301,81,73,168,25,10,180,39,61,878,12,73,2,542,197,826,0,263,476,0,198,440,346,203,259,356,942,193,1949,15,972,614,20,2,165,148,0,0,0,83,2109,4787,2732,0,5040,649,4,269,0,854,1,9,0,4,385,242,3027,0,0,247,93,0,21,17,186,9,0,1381,374,51,396,1,30,0,0,272,1425,35,555,117,50,1329,40,100,1,645,251,552,924,196,43,1734,297,154,9,5,101,419,0,25,1137,165,143,550,180,255,743,255,12,5,6020,3,209,0,176,59,3,404,0,45,189,14,278,62,61,645,266,179,102,460,4695,703,254,0,222,0,0,15,576,0,5,321,5,277,0,4,799,0,32,99,3,511,685,0,62,466,436,2,0,0,182,63,21,562,0,443,1,0,51,0,244,712,8,0,0,214,33,3,0
151,473,1,0,0,79,177,219,2285,222,1415,250,689,218,510,448,143,2,2,4,1040,4,0,44,32,253,25,4,14,110,172,116,0,1273,923,503,203,302,13,230,1183,120,5,721,29,147,982,8,942,5090,22,109,88,35,216,177,236,33,796,0,1,32,4,126,54,182,5,190,634,898,665,1032,1,107,36,28,20,1524,1388,19,19,306,267,241,628,0,118,0,4,0,28,156,638,0,0,0,118,8,163,230,32,82,10709,5,0,1980,88,0,115,42,42,261,10,59,159,180,69,345,141,1140,154,0,0,1431,14,537,8,4453,4906,2053,17,5968,904,705,28,67,0,59,0,11,17,0,162,649,0,3069,0,0,482,0,225,76,7,22,146,44,91,30,4,0,1,1,343,4,8,39,1283,1826,0,35,5,0,5664,0,1,604,0,1,100,0,4,19,240,0,0,2,172,17,168,168,0,150,60,196,9257,0,0,0,17,228,877,4,22,1177,51,106,151,520,115,0,658,17,962,360,678,0,125,166,57,17,209,348,1,0,112,547,7,82,345,0,569,162,60,0,289,42,14234,646,199,0,923,0,13,135,94,0,134,0,59,230,95,1,66,326,287,33,551,30,609,116,519,1053,151,165,247,529,0,41,332,11,42,45,2723,0,0,36,82,177,63,28,151,188,9067,75,2,5618,4,11,5958,171,0,59,59,16,70,32,162,4,92,73,69,44,0,0,4,67,402,42,0,1,1013,458,0,0,616,467,0,671,17,0,202,79,138,125,97,244,243,50,196,45,81,975,33,32,20,855,123,759,0,320,1146,1,233,225,441,73,213,962,1559,118,5586,16,532,628,70,0,212,103,0,0,0,90,1285,9979,3281,0,2174,802,7,205,0,2707,0,11,1,5,585,661,2040,1,0,365,48,0,26,22,188,7,7,783,836,48,483,0,51,1,0,795,1158,118,1696,486,131,793,1,122,11,392,311,2484,956,112,19,1360,438,399,91,0,131,296,7,36,1838,234,174,448,131,197,401,107,50,1,3871,2,168,0,199,57,11,208,0,26,159,19,438,84,122,1075,352,317,278,429,9697,752,241,1,284,0,0,4,475,2,0,284,23,230,0,1,450,0,29,87,19,351,1249,4,8,277,469,7,0,1,278,163,11,423,0,315,1,4,109,0,346,209,1,0,0,149,54,0,0
177,5911,1,0,0,104,507,476,4005,234,1919,385,1255,121,736,573,124,51,0,0,1214,0,0,14,21,229,24,0,0,69,158,162,0,950,1287,462,415,288,22,161,1185,125,14,803,39,148,860,22,452,5486,54,199,64,34,251,296,204,28,723,0,2,21,27,88,21,216,22,189,906,1415,990,1424,0,134,28,8,129,1509,1706,22,1,119,366,369,910,4,1365,1,0,0,39,122,579,0,0,0,65,1,52,188,35,78,6430,4,1,2751,88,0,72,52,95,283,61,8,112,158,61,124,85,988,178,0,0,985,25,747,18,2790,3034,2307,27,2068,1128,624,19,87,0,131,0,25,4,0,158,820,0,2203,5,0,507,1,368,38,0,48,218,1,85,48,12,0,8,0,365,34,8,21,1556,2367,0,8,18,9,8217,0,192,1021,2,0,41,0,1,57,299,0,0,2,188,14,172,205,4,52,62,184,6025,0,0,0,17,115,326,0,31,1044,75,151,92,442,442,0,1007,0,1142,378,506,0,39,204,54,7,185,309,0,1,139,533,2,62,475,5,637,186,35,0,178,24,13536,697,208,8,687,0,9,141,99,1,81,0,81,268,108,0,39,406,385,7,696,15,526,72,246,1252,95,148,242,530,0,49,398,0,51,21,2688,0,0,2,65,162,42,15,172,222,9611,111,0,4580,4,2,8350,252,0,14,18,65,204,67,346,1,72,99,109,19,0,0,0,9,305,18,0,1,721,55,0,0,560,329,0,761,12,0,243,95,192,62,71,266,81,7,87,34,79,1108,35,44,7,730,142,934,0,338,894,2,278,265,312,27,282,737,750,102,3136,15,505,562,32,1,149,128,0,0,0,65,2584,9485,4477,0,1937,1197,8,460,0,1421,4,8,1,4,495,612,1760,27,0,164,44,0,29,28,199,2,0,1459,743,25,465,0,95,0,0,458,1078,58,1045,211,45,1061,22,921,0,495,268,1172,1177,146,51,1453,365,221,37,7,82,285,4,22,1659,124,135,460,232,122,529,204,34,4,2144,2,253,0,206,48,7,360,0,12,109,11,303,28,122,1148,329,176,179,585,8947,806,256,0,149,0,0,0,522,0,0,612,12,111,0,4,767,32,12,112,7,435,1064,0,18,184,539,0,2,0,222,104,22,496,0,512,1,0,51,0,332,712,0,0,0,205,47,0,0
136,660,5,0,0,100,292,236,1962,215,1508,295,568,196,480,576,136,1,0,2,1021,11,0,22,13,230,20,1,0,89,135,111,0,919,700,418,171,369,14,298,1111,149,16,621,37,143,1044,17,654,4537,65,147,59,28,221,220,71,21,874,0,3,89,20,122,56,165,14,470,498,636,742,424,0,79,142,3,70,1289,1471,4,31,58,340,289,716,0,1009,0,1,0,15,160,536,0,0,0,212,15,15,243,23,17,8653,9,3,3078,107,0,91,57,37,191,0,13,157,267,58,618,76,1041,196,0,0,803,32,477,10,4876,3112,1944,46,4935,1020,758,26,139,1,177,0,17,1,0,123,495,0,2479,16,2,465,3,207,69,5,95,236,26,129,33,1,0,2,1,285,3,3,41,1099,1711,0,2,4,0,6493,1,16,456,0,3,232,0,20,28,254,1,0,1,190,51,275,199,1,127,77,142,9970,0,0,2,17,215,435,2,17,1226,47,152,213,555,201,0,623,4,1582,281,531,2,106,229,67,5,207,309,0,3,147,440,7,101,344,11,479,141,49,0,388,4,8630,568,195,0,898,10,8,147,71,0,43,0,134,164,93,0,81,345,225,20,351,33,359,107,389,699,321,201,177,359,0,40,345,2,75,64,2511,0,3,57,75,385,88,7,147,153,8640,57,0,3980,28,9,5576,311,0,26,53,10,75,44,171,4,85,83,86,50,1,5,0,40,197,68,0,7,1232,314,0,85,574,256,0,650,1,0,207,91,165,83,160,207,175,39,344,8,55,1346,19,25,4,849,167,951,0,196,1274,0,314,295,502,140,297,134,915,136,5820,81,468,546,35,1,232,104,0,0,0,87,1059,8892,3857,0,1682,940,5,441,0,4103,2,7,4,3,676,503,2160,2,0,231,65,0,14,9,224,20,1,1005,759,37,329,0,45,29,0,434,1014,81,2227,175,183,887,27,283,9,362,311,1394,816,169,34,1543,381,627,106,3,140,219,5,32,1793,248,196,347,163,177,358,104,34,0,1189,0,191,0,196,111,13,359,0,47,129,7,381,177,298,609,278,364,194,562,6734,760,327,2,147,0,0,43,410,0,0,89,39,68,0,3,746,0,16,67,20,319,967,0,11,329,364,13,2,0,230,116,28,484,1,355,3,0,70,0,191,526,2,0,0,101,34,1,0
179,113,0,1,0,45,337,220,600,501,874,168,1334,51,368,401,105,1,0,1,1567,2,14,26,26,426,16,1,0,61,175,127,0,587,1251,430,166,212,26,461,1126,245,12,221,15,306,1055,29,898,1108,85,247,51,36,174,333,525,111,1332,0,7,36,36,411,112,678,35,504,868,180,888,347,0,232,183,94,855,3151,1261,2,0,192,255,279,658,11,2252,3,0,0,72,199,292,18,0,0,86,0,25,212,167,40,4733,3,0,1879,90,0,347,427,103,273,44,46,301,33,51,85,52,656,277,0,0,688,60,682,12,1224,1771,360,7,5220,393,567,38,102,0,110,0,142,62,0,135,904,0,707,44,0,797,10,327,210,6,84,187,82,66,11,157,0,233,0,453,69,44,39,699,3218,0,14,1,0,4092,0,20,950,1,0,36,0,7,71,242,0,0,0,271,14,86,72,1,43,272,201,4883,1,0,0,1,194,136,0,26,934,32,104,149,430,647,0,1387,28,643,10851,4730,0,73,353,20,17,447,349,0,0,148,676,7,65,839,2,1041,157,62,0,220,11,4007,644,162,0,406,1,6,216,402,12,20,0,133,201,93,0,80,472,1029,20,402,7,282,14,142,1242,159,170,498,700,0,69,280,0,55,7,540,2,36,12,71,229,56,28,137,236,1089,152,1,1801,16,4,2109,89,1,208,303,12,46,101,1189,2,176,124,149,18,0,5,2,44,314,31,1,5,292,1,0,0,764,144,0,835,199,0,321,179,398,122,89,231,3,7,10,29,145,1295,12,68,51,1460,102,1072,2,162,798,1,263,466,593,51,362,253,567,192,2041,155,453,1265,105,4,118,105,0,0,4,131,1420,4680,942,0,2563,833,7,169,0,976,1,13,6,3,529,55,1925,0,0,303,106,3,73,25,155,13,0,848,212,37,227,0,12,0,0,160,813,31,1606,81,88,1331,142,539,7,732,350,7129,944,243,48,1666,432,243,1,2,98,453,36,38,673,303,140,427,192,96,339,342,18,0,9457,6,242,1,151,179,12,380,2,52,128,33,488,18,9,388,343,195,191,474,1537,1272,251,3,273,0,0,50,347,3,0,557,29,595,0,56,606,1,23,83,7,589,207,1,3,204,264,1,2,0,281,113,10,510,0,588,8,0,150,0,301,2932,116,3,0,409,47,4,0
132,867,1,0,0,51,356,224,385,294,977,237,1175,48,434,446,135,2,0,3,1423,12,0,21,17,201,18,3,0,71,126,141,0,578,1363,262,185,247,28,273,1195,127,17,376,15,219,909,33,1453,2332,70,260,48,24,170,460,606,97,838,0,2,86,113,73,30,474,18,601,704,63,865,464,0,61,87,39,338,3005,1495,1,4,270,272,284,811,1,1145,1,0,0,41,126,395,2,0,0,76,6,34,262,89,40,5338,6,2,3163,148,0,90,70,141,378,9,37,408,87,45,75,53,414,242,0,0,3641,27,323,12,1174,2112,414,48,3688,873,683,33,71,1,367,0,155,55,0,156,1142,0,644,0,1,806,12,280,10,16,47,146,142,124,6,24,0,68,0,490,166,8,571,887,3115,0,12,2,0,3666,0,22,1059,3,0,14,0,9,42,288,0,0,0,289,22,90,70,3,17,218,157,3762,0,0,0,5,435,168,0,23,926,152,91,110,355,231,0,1131,3,569,4845,6154,0,35,238,16,14,417,324,2,0,97,633,6,45,816,4,863,324,32,0,152,21,5383,854,204,0,548,4,3,162,138,1,65,0,266,237,121,2,42,453,1010,12,531,13,305,57,130,1432,198,173,408,770,0,75,186,1,27,3,573,0,43,8,66,196,67,12,126,234,1566,71,3,1246,2,7,2438,97,0,24,13,0,2,47,598,0,154,124,136,10,5,2,1,19,270,62,0,107,438,5,0,134,838,187,0,707,406,0,400,134,350,42,71,187,27,8,45,22,70,1063,18,61,19,1119,164,1100,0,236,758,0,216,503,471,166,359,205,510,217,2135,23,582,925,31,1,115,84,0,1,0,92,2177,4791,831,0,4025,647,0,236,0,890,4,28,5,20,454,77,1473,1,0,190,104,4,172,27,189,12,0,1229,229,41,297,0,14,0,0,361,1142,38,1316,77,60,1326,30,166,1,825,302,2943,1113,234,41,1767,409,244,3,1,97,423,13,43,715,256,133,626,232,169,538,460,62,0,8091,1,197,0,158,144,5,457,0,49,156,14,350,103,85,459,219,175,122,456,1517,755,257,2,173,0,0,4,430,0,0,1134,18,291,1,24,732,0,21,82,2,635,219,1,8,272,408,0,2,0,331,86,17,592,1,600,12,1,71,1,941,1591,4,0,0,216,54,1,0
13,157,0,0,0,61,366,208,519,482,786,166,1298,49,404,414,120,0,0,0,1577,12,2,13,14,392,12,0,0,67,164,139,0,568,1096,323,143,218,32,426,1236,189,16,226,10,442,1151,28,895,1496,83,223,62,40,189,433,532,83,1076,0,7,64,630,345,87,560,34,635,840,126,948,850,1,274,103,84,1398,3763,1361,3,1,181,231,321,569,29,2051,0,0,0,10,289,388,2,0,0,35,2,32,249,361,70,5815,6,0,1730,93,0,115,209,155,263,52,25,320,37,66,189,123,748,233,0,0,1567,6,389,8,775,1582,278,47,4742,462,591,27,80,0,164,0,118,34,0,139,823,0,576,17,3,963,15,305,24,6,76,156,186,64,8,22,0,218,1,454,437,36,1087,937,2976,0,2,11,25,4913,0,62,858,0,0,30,0,12,109,255,0,0,1,240,15,67,85,0,37,202,209,3431,0,0,0,7,298,141,0,24,813,55,142,102,283,864,0,1174,9,641,3737,6474,1,78,230,7,11,422,322,1,0,119,702,37,65,846,3,1119,188,27,0,134,11,3915,655,163,0,524,2,7,181,206,4,27,0,64,326,105,2,56,507,1420,6,457,9,336,42,50,1117,93,162,734,929,3,93,210,3,71,8,552,0,162,9,67,120,35,15,131,213,684,99,8,948,23,7,1671,72,0,66,73,9,65,112,1386,0,192,97,126,14,8,5,1,6,308,45,1,134,224,1,0,0,705,185,0,694,1022,0,368,176,323,137,121,256,12,5,14,70,85,1442,18,57,12,1053,118,1093,2,134,655,1,187,321,566,117,355,239,625,258,1614,103,578,979,105,3,105,184,2,0,1,125,1646,4348,680,0,1904,722,1,199,0,632,3,0,0,24,385,50,1636,1,0,234,88,0,69,30,239,16,0,753,171,25,353,0,7,0,0,190,940,26,1190,106,38,1183,74,129,5,785,315,4783,1048,231,47,1676,385,150,1,0,84,320,16,54,465,225,133,598,275,158,511,312,81,9,8347,3,258,0,127,103,7,270,1,60,138,11,437,7,16,475,277,183,184,454,941,906,184,4,263,0,0,42,413,2,4,751,9,682,3,69,499,0,18,99,4,567,223,0,4,157,338,2,8,1,324,84,32,462,1,710,5,0,97,0,543,2236,18,0,0,571,37,3,0
