,leafThickness,rosetteSize,numberOfFlowers,floweringTime,leafSerration
103,0.163333333,1866,17,8,0.943828016643551
121,0.183333333,2138,15,8,0.954410011918951
165,0.143333333,3712,17,11,0.923396379722837
126,0.14,3142,21,7,0.948997599887053
151,0.136666667,3140,14,11,0.929350316136718
177,0.236666667,2098,22,7,0.927639930755915
136,0.173333333,3816,17,9,0.906493967352732
179,0.146666667,2603,28,15,0.911864317782037
132,0.126666667,4363,23,5,0.927552094295938
13,0.273333333,2856,35,8,0.79043549881602
142,0.203333333,1153,14,8,0.885741708435534
101,0.206666667,2840,35,8,0.900664103460329
21,0.15,1776,21,6,0.896914903532482
164,0.233333333,6146,29,5,0.939157775027595
117,0.193333333,1496,50,5,0.90745719541531
120,0.203333333,5904,17,7,0.763511126810314
226,0.17,3863,21,13,0.823074018126888
127,0.133333333,7075,35,5,0.977011494252874
238,0.156666667,490,33,13,0.854532402271096
116,0.123333333,2385,35,12,0.848875877554501
