"gene_id","transcript_length","gene_length","cds_count"
"AL1G10010",1281,2500,7
"AL1G10020",1751,2864,6
"AL3G36510",34,102,1
"AL1G10030",162,202,1
"AL1G10040",681,1056,2
"AL1G10050",798,1394,5
"AL1G10060",216,1183,3
"AL1G10070",1572,1918,2
"AL1G10080",1476,4011,20
"AL1G10090",453,1256,3
"AL1G10102",838,1998,10
"AL1G10104",612,1718,8
"AL1G10110",1824,4500,18
"AL1G10120",2100,2778,4
"AL1G10130",1005,3506,13
"AL1G10140",782,2461,9
"AL1G10150",249,249,1
"AL1G10160",990,1805,6
"AL1G10170",364,1427,1
"AL5G17930",195,821,1
"AL1G10180",381,723,2
"AL1G10190",252,293,1
"AL1G10200",7140,13596,49
"AL1G10210",171,305,2
"AL1G10220",969,1731,3
"AL1G10230",2199,2669,1
"AL1G10240",1191,1556,2
"AL1G10250",795,861,1
"AL1G10260",2653,8433,4
"AL1G10270",798,1554,8
"AL1G10280",1032,1803,5
"AL1G10290",45,633,1
"AL1G10300",274,457,1
"AL1G10310",2043,4343,21
"AL1G10320",1305,1723,1
"AL1G10330",741,1002,1
"AL1G10340",1451,1490,1
"AL1G10350",1230,1861,2
"AL1G10360",5253,7191,11
"AL1G10370",2688,5171,19
"AL1G10380",483,1811,5
"AL1G10390",1740,3248,7
"AL1G10400",324,503,1
"AL1G10410",1647,3513,16
"AL1G10420",1062,2518,7
"AL1G10430",2274,4400,2
"AL1G10450",1729,2570,8
"AL1G10470",1029,2199,10
"AL1G10480",429,532,1
"AL1G10490",1719,3783,1
"AL1G10510",720,2162,7
"AL1G10520",447,630,1
"AL1G10540",888,2441,5
"AL1G10550",3516,6766,20
"AL1G10560",618,1557,5
"AL1G10570",1908,4346,15
"AL1G10580",1293,2184,9
"AL1G10590",423,1130,3
"AL1G10600",1461,2605,9
"AL1G10610",651,1304,3
"AL1G10630",873,1517,3
"AL1G10640",435,1285,2
"AL1G10650",1284,4307,17
"AL1G10660",284,325,1
"AL1G10670",1359,1784,4
"AL1G10680",1353,3482,14
"AL1G10690",930,2353,6
"AL1G10700",1116,3390,7
"AL1G10710",1710,2934,10
"AL1G10720",1623,4985,14
"AL6G46020",372,2066,3
"AL1G10740",471,919,1
"AL1G10750",771,1918,5
"AL1G10760",861,1387,4
"AL1G10770",1509,2750,4
"AL1G10780",1665,1964,2
"AL1G10790",165,497,2
"AL1G10800",2115,3525,8
"AL1G10810",2178,3897,8
"AL1G10820",1428,1469,1
"AL1G10830",1533,2441,3
"AL1G10840",1119,2098,6
"AL1G10850",1050,2245,1
"AL1G10860",1419,3085,7
"AL1G10870",322,556,2
"AL1G10880",429,1265,1
"AL1G10890",923,2039,7
"AL1G10900",1911,3090,7
"AL1G10910",927,1921,2
"AL1G10920",534,2366,3
"AL1G10930",1491,2506,4
"AL1G10940",198,1865,1
"AL1G10950",553,2116,5
"AL1G10960",1281,2576,9
"AL1G10980",816,1454,2
"AL1G10990",2082,2370,2
"AL1G11010",1998,3144,4
"AL1G11020",1347,1890,3
"AL1G11030",1221,1400,1
"AL1G11040",1305,1557,1
"AL1G11050",999,1936,6
"AL1G11060",1443,1767,1
"AL1G11070",252,771,3
"AL1G11082",546,1657,8
"AL1G11084",573,794,3
"AL1G11090",515,1304,3
"AL1G11100",1029,1969,3
"AL1G11110",2139,3596,8
"AL1G11120",280,563,1
"AL1G11130",5358,9592,23
"AL1G11140",726,909,1
"AL1G11150",426,540,1
"AL1G11160",1446,1730,1
"AL1G11170",693,2026,1
"AL1G11180",1008,1715,2
"AL1G11200",1776,2739,1
"AL1G11210",561,736,1
"AL1G11220",1005,1897,1
"AL1G11230",474,1803,3
"AL1G11240",615,1762,6
"AL1G11250",786,1428,2
"AL1G11260",3168,4012,7
"AL1G11270",321,1036,3
"AL1G11280",714,1821,2
"AL1G11290",1548,2066,2
"AL1G11320",933,1445,1
"AL1G11330",258,847,2
"AL1G11340",600,1634,5
"AL1G11350",882,1520,3
"AL1G11360",312,616,1
"AL1G11370",1134,3531,13
"AL1G11390",438,868,1
"AL1G11400",1587,1850,1
"AL1G11410",1584,2410,5
"AL1G11420",342,1175,3
"AL1G11430",1299,1939,3
"AL1G11440",982,1748,3
"AL1G11450",1086,2368,6
"AL1G11460",1938,4261,7
"AL1G11470",639,1915,8
"AL1G11480",5715,8046,20
"AL1G11500",886,1644,1
"AL1G11510",738,1894,9
"AL1G11520",126,611,1
"AL1G11530",1398,2558,6
"AL1G11540",600,1472,4
"AL1G11550",412,1474,4
"AL1G11560",1131,1806,6
