"gene_id","seqnames","start","end","gene_length","cds_count"
"AL1G10010","scaffold_1",4698,7197,2500,7
"AL1G10020","scaffold_1",7974,10837,2864,6
"AL3G36510","scaffold_1",11261,11362,102,1
"AL1G10030","scaffold_1",12079,12280,202,1
"AL1G10040","scaffold_1",14159,15214,1056,2
"AL1G10050","scaffold_1",15227,16620,1394,5
"AL1G10060","scaffold_1",16851,18033,1183,3
"AL1G10070","scaffold_1",18106,20023,1918,2
"AL1G10080","scaffold_1",20089,24099,4011,20
"AL1G10090","scaffold_1",24229,25484,1256,3
"AL1G10102","scaffold_1",30619,32616,1998,10
"AL1G10104","scaffold_1",34055,35772,1718,8
"AL1G10110","scaffold_1",36133,40632,4500,18
"AL1G10120","scaffold_1",42437,45214,2778,4
"AL1G10130","scaffold_1",45271,48776,3506,13
"AL1G10140","scaffold_1",48953,51413,2461,9
"AL1G10150","scaffold_1",51479,51727,249,1
"AL1G10160","scaffold_1",52061,53865,1805,6
"AL1G10170","scaffold_1",53950,55376,1427,1
"AL5G17930","scaffold_1",57245,58065,821,1
"AL1G10180","scaffold_1",59477,60199,723,2
"AL1G10190","scaffold_1",61291,61583,293,1
"AL1G10200","scaffold_1",62450,76045,13596,49
"AL1G10210","scaffold_1",76063,76367,305,2
"AL1G10220","scaffold_1",78330,80060,1731,3
"AL1G10230","scaffold_1",81925,84593,2669,1
"AL1G10240","scaffold_1",84645,86200,1556,2
"AL1G10250","scaffold_1",86265,87125,861,1
"AL1G10260","scaffold_1",93538,101970,8433,4
"AL1G10270","scaffold_1",102403,103956,1554,8
"AL1G10280","scaffold_1",104054,105856,1803,5
"AL1G10290","scaffold_1",118145,118777,633,1
"AL1G10300","scaffold_1",119195,119651,457,1
"AL1G10310","scaffold_1",122075,126417,4343,21
"AL1G10320","scaffold_1",126627,128349,1723,1
"AL1G10330","scaffold_1",129843,130844,1002,1
"AL1G10340","scaffold_1",144213,145702,1490,1
"AL1G10350","scaffold_1",163873,165733,1861,2
"AL1G10360","scaffold_1",166293,173483,7191,11
"AL1G10370","scaffold_1",173515,178685,5171,19
"AL1G10380","scaffold_1",179122,180932,1811,5
"AL1G10390","scaffold_1",181063,184310,3248,7
"AL1G10400","scaffold_1",184386,184888,503,1
"AL1G10410","scaffold_1",188510,192022,3513,16
"AL1G10420","scaffold_1",192287,194804,2518,7
"AL1G10430","scaffold_1",194825,199224,4400,2
"AL1G10450","scaffold_1",200332,202901,2570,8
"AL1G10470","scaffold_1",203050,205248,2199,10
"AL1G10480","scaffold_1",205264,205795,532,1
"AL1G10490","scaffold_1",208149,211931,3783,1
"AL1G10510","scaffold_1",212233,214394,2162,7
"AL1G10520","scaffold_1",214425,215054,630,1
"AL1G10540","scaffold_1",215218,217658,2441,5
"AL1G10550","scaffold_1",217729,224494,6766,20
"AL1G10560","scaffold_1",224770,226326,1557,5
"AL1G10570","scaffold_1",226391,230736,4346,15
"AL1G10580","scaffold_1",230861,233044,2184,9
"AL1G10590","scaffold_1",233065,234194,1130,3
"AL1G10600","scaffold_1",234789,237393,2605,9
"AL1G10610","scaffold_1",237400,238703,1304,3
"AL1G10630","scaffold_1",239471,240987,1517,3
"AL1G10640","scaffold_1",241521,242805,1285,2
"AL1G10650","scaffold_1",242861,247167,4307,17
"AL1G10660","scaffold_1",250936,251260,325,1
"AL1G10670","scaffold_1",255007,256790,1784,4
"AL1G10680","scaffold_1",257265,260746,3482,14
"AL1G10690","scaffold_1",261446,263798,2353,6
"AL1G10700","scaffold_1",264047,267436,3390,7
"AL1G10710","scaffold_1",267520,270453,2934,10
"AL1G10720","scaffold_1",271694,276678,4985,14
"AL6G46020","scaffold_1",277401,279466,2066,3
"AL1G10740","scaffold_1",280102,281020,919,1
"AL1G10750","scaffold_1",281045,282962,1918,5
"AL1G10760","scaffold_1",284487,285873,1387,4
"AL1G10770","scaffold_1",287245,289994,2750,4
"AL1G10780","scaffold_1",294208,296171,1964,2
"AL1G10790","scaffold_1",300072,300568,497,2
"AL1G10800","scaffold_1",300687,304211,3525,8
"AL1G10810","scaffold_1",305465,309361,3897,8
"AL1G10820","scaffold_1",311226,312694,1469,1
"AL1G10830","scaffold_1",313021,315461,2441,3
"AL1G10840","scaffold_1",316300,318397,2098,6
"AL1G10850","scaffold_1",318863,321107,2245,1
"AL1G10860","scaffold_1",323019,326103,3085,7
"AL1G10870","scaffold_1",329412,329967,556,2
"AL1G10880","scaffold_1",331543,332807,1265,1
"AL1G10890","scaffold_1",332964,335002,2039,7
"AL1G10900","scaffold_1",335270,338359,3090,7
"AL1G10910","scaffold_1",339839,341759,1921,2
"AL1G10920","scaffold_1",345059,347424,2366,3
"AL1G10930","scaffold_1",349206,351711,2506,4
"AL1G10940","scaffold_1",354696,356560,1865,1
"AL1G10950","scaffold_1",357556,359671,2116,5
"AL1G10960","scaffold_1",360011,362586,2576,9
"AL1G10980","scaffold_1",363566,365019,1454,2
"AL1G10990","scaffold_1",365346,367715,2370,2
"AL1G11010","scaffold_1",368936,372079,3144,4
"AL1G11020","scaffold_1",372974,374863,1890,3
"AL1G11030","scaffold_1",380238,381637,1400,1
"AL1G11040","scaffold_1",381880,383436,1557,1
"AL1G11050","scaffold_1",384394,386329,1936,6
"AL1G11060","scaffold_1",387624,389390,1767,1
"AL1G11070","scaffold_1",389681,390451,771,3
"AL1G11082","scaffold_1",392851,394507,1657,8
"AL1G11084","scaffold_1",395397,396190,794,3
"AL1G11090","scaffold_1",398502,399805,1304,3
"AL1G11100","scaffold_1",399967,401935,1969,3
"AL1G11110","scaffold_1",402222,405817,3596,8
"AL1G11120","scaffold_1",406162,406724,563,1
"AL1G11130","scaffold_1",409713,419304,9592,23
"AL1G11140","scaffold_1",419308,420216,909,1
"AL1G11150","scaffold_1",420447,420986,540,1
"AL1G11160","scaffold_1",421555,423284,1730,1
"AL1G11170","scaffold_1",424142,426167,2026,1
"AL1G11180","scaffold_1",426266,427980,1715,2
"AL1G11200","scaffold_1",431227,433965,2739,1
"AL1G11210","scaffold_1",439520,440255,736,1
"AL1G11220","scaffold_1",442827,444723,1897,1
"AL1G11230","scaffold_1",445330,447132,1803,3
"AL1G11240","scaffold_1",447595,449356,1762,6
"AL1G11250","scaffold_1",449563,450990,1428,2
"AL1G11260","scaffold_1",451327,455338,4012,7
"AL1G11270","scaffold_1",455392,456427,1036,3
"AL1G11280","scaffold_1",457564,459384,1821,2
"AL1G11290","scaffold_1",464455,466520,2066,2
"AL1G11320","scaffold_1",474375,475819,1445,1
"AL1G11330","scaffold_1",476422,477268,847,2
"AL1G11340","scaffold_1",477273,478906,1634,5
"AL1G11350","scaffold_1",479130,480649,1520,3
"AL1G11360","scaffold_1",480830,481445,616,1
"AL1G11370","scaffold_1",484524,488054,3531,13
"AL1G11390","scaffold_1",489317,490184,868,1
"AL1G11400","scaffold_1",493794,495643,1850,1
"AL1G11410","scaffold_1",497378,499787,2410,5
"AL1G11420","scaffold_1",500962,502136,1175,3
"AL1G11430","scaffold_1",503062,505000,1939,3
"AL1G11440","scaffold_1",508289,510036,1748,3
"AL1G11450","scaffold_1",516486,518853,2368,6
"AL1G11460","scaffold_1",519630,523890,4261,7
"AL1G11470","scaffold_1",524273,526187,1915,8
"AL1G11480","scaffold_1",526366,534411,8046,20
"AL1G11500","scaffold_1",543190,544833,1644,1
"AL1G11510","scaffold_1",548211,550104,1894,9
"AL1G11520","scaffold_1",550204,550814,611,1
"AL1G11530","scaffold_1",550838,553395,2558,6
"AL1G11540","scaffold_1",563016,564487,1472,4
"AL1G11550","scaffold_1",564930,566403,1474,4
"AL1G11560","scaffold_1",567180,568985,1806,6
"AL1G11570","scaffold_1",576670,578510,1841,6
"AL1G11580","scaffold_1",580895,582070,1176,3
"AL1G11590","scaffold_1",583305,585613,2309,3
"AL1G11600","scaffold_1",585888,589000,3113,11
"AL4G45870","scaffold_1",595112,595676,565,2
"AL1G11610","scaffold_1",595881,597829,1949,7
"AL1G11620","scaffold_1",597888,600057,2170,1
"AL1G11630","scaffold_1",600449,602648,2200,11
"AL1G11640","scaffold_1",602908,605285,2378,11
"AL1G11650","scaffold_1",605307,607893,2587,5
"AL1G11660","scaffold_1",608965,610471,1507,6
"AL1G11670","scaffold_1",611016,612199,1184,2
"AL1G11680","scaffold_1",613103,614983,1881,4
"AL1G11690","scaffold_1",617897,619627,1731,1
"AL1G11700","scaffold_1",619632,620146,515,1
"AL1G11710","scaffold_1",620696,622110,1415,1
"AL1G11720","scaffold_1",626650,628630,1981,2
"AL1G11730","scaffold_1",629143,631293,2151,3
"AL1G11740","scaffold_1",632916,635257,2342,2
"AL8G19300","scaffold_1",641269,644447,3179,3
"AL1G11750","scaffold_1",646115,648882,2768,3
"AL1G11760","scaffold_1",649361,649836,476,1
"AL1G11770","scaffold_1",650168,652315,2148,7
"AL1G11782","scaffold_1",653536,655008,1473,1
"AL1G11784","scaffold_1",655019,655911,893,5
"AL1G11790","scaffold_1",656282,656775,494,1
"AL1G11800","scaffold_1",661395,664119,2725,6
"AL1G11810","scaffold_1",668565,670004,1440,7
"AL1G11820","scaffold_1",670079,674650,4572,7
"AL1G11840","scaffold_1",682096,683953,1858,2
"AL1G11850","scaffold_1",684055,685244,1190,2
"AL1G11860","scaffold_1",687075,692661,5587,11
"AL1G11870","scaffold_1",693599,698450,4852,10
"AL1G11880","scaffold_1",698843,699647,805,1
"AL1G11890","scaffold_1",700067,702229,2163,9
"AL1G11900","scaffold_1",703008,703994,987,1
"AL1G11930","scaffold_1",711868,714675,2808,7
"AL1G11940","scaffold_1",716389,717811,1423,3
"AL1G11960","scaffold_1",718366,720697,2332,7
"AL1G11970","scaffold_1",723226,726487,3262,2
"AL1G11980","scaffold_1",728401,732058,3658,5
"AL5G31140","scaffold_1",735420,735755,336,1
"AL1G11990","scaffold_1",735765,737083,1319,3
"AL1G12000","scaffold_1",738543,741488,2946,5
"AL1G12010","scaffold_1",743320,744619,1300,5
"AL1G12030","scaffold_1",751568,752338,771,2
"AL1G12040","scaffold_1",752817,753427,611,1
"AL1G12050","scaffold_1",755220,755591,372,1
"AL1G12060","scaffold_1",757312,760269,2958,10
"AL1G12070","scaffold_1",760930,762186,1257,2
"AL1G12080","scaffold_1",762243,762977,735,1
"AL1G12090","scaffold_1",764407,766852,2446,1
"AL1G12100","scaffold_1",766865,767924,1060,1
